RT 003,village,-7.5437288953330155,110.60584435751491
Sukorini,village,-7.6728189960510615,110.51256397904712
Junut Kidul,village,-7.6866513441543844,110.51257015502401
Karangkasih,village,-7.6849931874762305,110.51011573149327
Tegal Candran,village,-7.6837359715391305,110.5122761759502
Junut Lor,village,-7.681966609442542,110.51391742055887
Sukorini,village,-7.683018236320936,110.51819869337719
Mandungan,village,-7.678521406686259,110.5165330426361
Woro 17,village,-7.6765241789153285,110.51290453067776
Woro 5,village,-7.678004618292428,110.5144996255159
Beteng,village,-7.675020931950256,110.50988068609693
Ngemplak,village,-7.665833613790101,110.51741233218345
Gampar 14,village,-7.667010336572328,110.51616624679346
Gampar 7,village,-7.667175491042755,110.51491285343069
Brangkali,village,-7.667462544606014,110.5136751271813
Pijenan,village,-7.666103437087646,110.51117047013628
Plalangan 12,village,-7.664001649145525,110.51105720125094
Plalangan 13,village,-7.659255686769742,110.50791639120902
Jungkare,village,-7.653115224077216,110.61735914040531
Badaran,village,-7.690304205744192,110.5504433132843
Mampiran,village,-7.710327296476358,110.53023152742959
Kemit,village,-7.6669786371214395,110.60433568429586
Jembangan,village,-7.707040422704399,110.53868281051847
Dawung,village,-7.452491978751566,110.57750576489265
Ngemplak,village,-7.707745730268909,110.44359871024292
Ngaglik,village,-7.711727652142133,110.39975622094832
Potronalan,village,-7.71714313950066,110.5110559866384
Dalangan,village,-7.374413849875621,110.45572522831493
Desa JOMBONG Kecamatan CEPOGO Kabupaten BOYOLALI,village,-7.531981264335965,110.4940673129618
Desa WONODOYO Kecamatan CEPOGO Kabupaten BOYOLALI,village,-7.538612438906866,110.44698131260508
nan,village,-7.605028807163111,110.51867724085338
Desa MRIYAN Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.542939559967971,110.48859216690343
Desa SANGUP Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.557801981155252,110.4917882109132
Desa SUKOREJO Kecamatan MUSUK Kabupaten BOYOLALI,village,-7.557513012374396,110.55610316338871
nan,village,-7.478564328215717,110.42734839659134
nan,village,-7.4995591482235175,110.39804974259425
Desa SAMIRAN Kecamatan SELO Kabupaten BOYOLALI,village,-7.501731257175504,110.45009882590284
nan,village,-7.5268980954771125,110.42338584829955
Desa KRAGUMAN Kecamatan JOGONALAN Kabupaten KLATEN,village,-7.723144685956184,110.55826708785492
Desa PRAWATAN Kecamatan JOGONALAN Kabupaten KLATEN,village,-7.721870791506543,110.54523608916944
Desa BASIN Kecamatan KEBONARUM Kabupaten KLATEN,village,-7.705588668919518,110.561848592812
Desa BALERANTE Kecamatan KEMALANG Kabupaten KLATEN,village,-7.575926190592238,110.46384721422272
Desa BUMIHARJO Kecamatan KEMALANG Kabupaten KLATEN,village,-7.609008351120322,110.50006220467726
Desa DOMPOL Kecamatan KEMALANG Kabupaten KLATEN,village,-7.628279834102253,110.5061764225884
Desa PANGGANG Kecamatan KEMALANG Kabupaten KLATEN,village,-7.61518381006739,110.47373739145438
nan,village,-7.539535823256531,110.45311631937017
Desa TANGKIL Kecamatan KEMALANG Kabupaten KLATEN,village,-7.606539372873295,110.50949910314678
nan,village,-7.543673277719146,110.46364358436318
